age,height_cm,weight_kg,gender_enc,bmi,activity_level,goal,diet_pref,sleep_hours,workout_freq,calorie_target,diet_category,exercise_category
50,187.1,90.5,0,25.85,0,2,1,8.4,1.0,2494.0,1,1
29,160.1,81.3,1,31.7,5,2,4,8.3,6.0,3314.0,4,2
32,163.1,40.0,0,15.03,0,3,0,6.0,1.0,2118.0,1,2
51,152.5,99.9,1,42.94,0,0,0,7.0,0.0,1394.0,4,4
55,173.2,85.5,1,28.5,1,2,3,8.1,2.0,2365.0,3,1
19,177.6,77.5,1,24.57,1,1,1,6.0,1.0,2689.0,0,1
17,179.2,79.6,0,24.8,2,0,3,6.8,3.0,2396.0,3,3
21,152.8,82.5,0,35.34,2,2,0,6.7,3.0,2905.0,1,2
57,174.5,79.0,1,25.95,5,1,2,7.5,5.0,3319.0,3,2
19,174.9,54.7,1,17.87,0,3,1,7.7,0.0,2261.0,1,2
44,177.4,81.1,0,25.79,4,3,3,8.0,4.0,3839.0,3,2
33,160.7,74.9,0,29.01,0,3,3,7.1,0.0,2513.0,3,2
41,150.0,79.5,1,35.34,0,3,0,6.1,1.0,2240.0,1,4
59,178.5,60.6,1,19.01,5,1,3,6.7,4.0,2980.0,3,2
49,168.3,91.7,1,32.38,2,1,0,6.0,3.0,2871.0,0,1
25,173.4,61.9,1,20.6,3,0,2,6.4,2.0,1994.0,3,3
51,168.9,71.1,0,24.95,2,3,3,7.6,3.0,2951.0,3,2
29,172.8,62.9,0,21.05,1,3,0,5.7,1.0,2757.0,1,2
46,178.8,54.0,0,16.9,2,3,0,6.5,3.0,2821.0,1,2
63,150.0,84.9,0,37.73,5,1,2,7.8,6.0,3403.0,3,2
30,183.7,63.0,0,18.67,3,3,3,7.6,4.0,3417.0,3,2
23,167.8,74.6,0,26.5,0,1,2,6.3,1.0,2472.0,3,1
29,189.5,47.0,1,13.08,3,0,2,6.2,2.0,1876.0,3,3
38,164.5,40.0,0,14.78,5,3,2,8.4,4.0,3086.0,3,2
55,161.8,103.1,1,39.39,5,0,3,7.3,5.0,2764.0,3,3
36,168.2,100.6,0,35.53,2,1,4,6.3,1.0,3367.0,4,1
31,176.0,61.1,0,19.73,4,0,0,7.0,4.0,2516.0,0,3
60,166.7,80.2,0,28.86,5,2,0,8.0,6.0,3398.0,1,2
33,176.9,64.0,0,20.45,1,0,2,6.2,0.0,1730.0,3,0
62,165.4,84.0,1,30.73,5,1,2,6.2,5.0,3255.0,3,2
39,170.4,52.5,1,18.09,3,0,4,7.2,4.0,1679.0,4,3
41,196.8,50.8,1,13.11,5,0,1,5.8,5.0,2295.0,0,3
40,174.3,72.4,0,23.83,2,1,0,6.4,2.0,2958.0,0,1
60,175.2,78.9,0,25.68,0,1,1,6.6,0.0,2357.0,0,4
56,152.3,59.4,0,25.61,2,3,2,4.6,1.0,2571.0,3,2
44,186.3,48.5,1,13.99,5,0,0,7.1,4.0,2087.0,0,3
30,182.8,94.7,1,28.33,5,3,0,7.6,5.0,4156.0,1,2
60,161.4,63.6,0,24.42,0,2,2,8.8,0.0,1920.0,3,4
16,182.6,63.8,0,19.15,4,2,1,7.5,4.0,3538.0,1,2
40,174.0,94.2,1,31.12,1,1,1,6.1,1.0,2744.0,0,1
22,170.6,112.3,0,38.62,3,3,3,6.6,3.0,4196.0,3,2
24,185.5,77.9,1,22.64,2,2,3,8.7,1.0,2869.0,3,2
39,163.9,87.8,0,32.72,2,0,4,7.4,2.0,2204.0,4,3
16,161.3,51.5,1,19.79,3,1,4,7.9,3.0,2662.0,4,2
59,172.5,85.2,1,28.62,5,0,1,6.5,5.0,2497.0,2,3
23,176.3,87.4,1,28.1,0,3,2,6.8,0.0,2640.0,3,2
39,181.6,54.8,1,16.61,1,3,1,6.9,2.0,2424.0,1,2
26,168.2,62.4,1,22.05,4,2,0,7.8,4.0,2929.0,1,2
32,159.8,94.0,0,36.82,3,3,3,6.6,4.0,3677.0,3,2
23,200.0,67.0,0,16.76,1,2,3,7.5,2.0,2789.0,3,1
50,157.0,97.6,1,39.63,2,2,1,7.0,2.0,2697.0,1,2
50,170.7,72.3,1,24.84,1,1,0,5.9,1.0,2346.0,0,1
48,179.4,71.5,0,22.22,5,2,1,7.0,6.0,3501.0,1,2
20,183.8,89.6,1,26.51,4,3,1,8.0,4.0,3989.0,1,2
57,163.2,108.9,1,40.91,1,3,1,7.0,2.0,2887.0,1,4
54,150.0,83.9,1,37.28,5,1,0,6.7,6.0,3141.0,0,2
56,162.9,75.1,1,28.31,2,3,3,8.3,1.0,2659.0,3,2
43,180.3,94.8,0,29.15,4,1,2,7.4,4.0,3994.0,3,2
22,177.6,96.0,0,30.43,4,1,4,5.8,5.0,4185.0,4,2
24,178.0,81.6,0,25.75,4,1,0,6.7,5.0,3897.0,0,2
23,178.5,78.8,0,24.72,2,1,3,7.2,2.0,3231.0,3,1
27,186.1,84.6,1,24.44,0,1,1,7.2,1.0,2506.0,0,1
49,160.7,46.3,0,17.91,2,2,2,7.5,2.0,2202.0,3,2
48,155.6,53.2,0,21.95,0,3,4,6.9,0.0,2123.0,4,2
63,174.4,76.3,0,25.08,5,1,4,6.8,5.0,3537.0,4,2
38,157.4,58.1,1,23.46,0,0,0,7.0,0.0,1200.0,0,0
39,154.9,72.7,1,30.29,2,0,1,7.7,2.0,1625.0,2,3
52,184.7,75.7,0,22.18,5,0,1,6.4,4.0,2862.0,0,3
50,173.0,54.3,0,18.15,1,3,2,6.9,2.0,2497.0,3,2
59,170.3,82.7,1,28.51,2,3,4,7.2,1.0,2826.0,4,2
55,170.6,40.0,1,13.75,4,2,0,6.5,4.0,2257.0,1,2
37,168.7,66.2,0,23.26,1,1,1,7.4,2.0,2563.0,0,1
42,184.6,44.4,0,13.03,3,2,4,7.3,4.0,2703.0,4,2
50,151.8,66.2,0,28.72,5,2,4,5.1,5.0,3032.0,4,2
16,151.3,89.2,1,38.96,3,1,3,7.0,3.0,3205.0,3,2
50,158.8,58.6,0,23.27,3,2,2,8.3,4.0,2601.0,3,2
52,173.5,40.0,0,13.29,4,1,1,8.3,5.0,2785.0,0,2
62,191.7,67.8,0,18.45,5,1,3,7.6,5.0,3592.0,3,2
29,180.4,57.1,0,17.52,5,1,2,8.1,6.0,3566.0,3,2
18,177.1,72.0,0,22.96,4,0,3,6.9,5.0,2860.0,3,3
16,169.0,67.8,1,23.71,0,3,1,7.5,0.0,2392.0,1,2
20,154.0,75.2,1,31.69,5,1,0,7.1,4.0,3356.0,0,2
41,176.2,93.1,1,30.0,4,1,3,7.6,4.0,3616.0,3,2
29,194.3,65.2,1,17.27,5,2,3,8.7,6.0,3421.0,3,2
54,167.1,73.6,1,26.34,0,0,4,7.9,1.0,1200.0,4,0
42,163.3,66.2,1,24.83,3,2,1,6.7,4.0,2562.0,1,2
24,167.2,90.2,1,32.27,2,2,3,8.4,3.0,2882.0,3,2
30,177.2,74.8,1,23.83,2,0,0,7.2,3.0,1944.0,0,3
30,171.3,81.4,1,27.71,5,2,3,7.6,6.0,3447.0,3,2
41,180.9,85.7,0,26.18,4,2,2,6.8,3.0,3696.0,3,2
57,169.6,40.0,0,13.91,5,1,0,7.7,6.0,2810.0,0,2
28,167.1,86.2,1,30.86,3,0,0,7.4,3.0,2319.0,2,3
47,172.7,78.8,1,26.42,5,0,3,8.0,4.0,2494.0,3,3
54,163.5,59.9,0,22.39,3,0,3,6.5,4.0,1888.0,3,3
64,190.9,95.2,0,26.12,0,2,4,7.9,0.0,2496.0,4,4
47,179.9,89.8,0,27.74,0,3,1,4.8,0.0,2750.0,1,2
19,156.8,68.6,1,27.89,3,2,4,6.4,3.0,2732.0,4,2
45,161.1,40.0,0,15.42,5,3,2,5.8,6.0,2973.0,3,2
52,176.8,71.0,1,22.71,4,0,1,7.3,4.0,2198.0,0,3
38,172.2,54.0,1,18.22,4,2,4,7.9,3.0,2704.0,4,2
54,173.6,40.0,0,13.27,3,3,4,7.0,3.0,2705.0,4,2
60,167.7,82.5,1,29.33,5,0,3,8.2,5.0,2374.0,3,3
30,175.5,99.5,0,32.31,5,2,4,6.3,6.0,4193.0,4,2
58,168.0,70.3,0,24.92,2,0,3,5.7,2.0,1825.0,3,3
44,176.8,76.7,0,24.54,2,3,0,7.7,1.0,3167.0,1,2
51,179.3,96.2,0,29.92,0,0,1,8.1,0.0,1749.0,2,0
28,189.3,75.2,0,20.99,5,3,3,7.1,6.0,4200.0,3,2
47,163.8,61.0,0,22.74,3,2,4,8.6,4.0,2722.0,4,2
22,169.9,40.0,0,13.86,2,3,3,7.5,2.0,2703.0,3,2
37,155.4,86.7,0,35.9,4,0,0,7.4,3.0,2700.0,4,3
43,191.9,79.5,1,21.59,1,0,2,6.6,2.0,1776.0,3,0
17,150.0,88.7,0,39.42,1,3,2,5.8,0.0,2999.0,3,2
57,190.2,40.0,1,11.06,5,1,0,6.8,5.0,2735.0,0,2
60,171.1,109.4,0,37.35,3,0,4,8.4,4.0,2773.0,4,3
21,175.0,57.8,1,18.86,0,0,1,7.2,0.0,1237.0,0,0
43,168.0,91.7,0,32.47,1,1,1,6.6,0.0,2866.0,0,1
43,170.4,40.0,1,13.78,4,3,3,6.2,3.0,2669.0,3,2
59,177.1,58.1,1,18.52,4,0,2,7.5,4.0,1889.0,3,3
59,150.4,62.2,1,27.51,4,0,0,6.0,3.0,1651.0,0,3
35,162.2,53.6,1,20.38,1,1,4,7.3,2.0,2119.0,4,1
45,159.9,57.2,0,22.38,2,2,0,6.6,2.0,2394.0,1,2
26,175.4,101.2,1,32.89,4,3,2,6.8,4.0,4052.0,3,2
43,170.1,65.9,1,22.78,0,0,0,7.6,1.0,1200.0,0,0
40,177.4,110.3,0,35.05,3,2,0,6.1,4.0,3779.0,1,2
54,172.0,91.0,1,30.77,3,0,0,7.0,3.0,2230.0,2,3
48,182.7,40.0,0,11.98,3,0,3,5.6,2.0,1804.0,3,3
16,161.1,65.8,0,25.36,2,2,4,6.9,2.0,2765.0,4,2
42,170.7,65.0,1,22.32,3,1,1,7.4,4.0,2772.0,0,2
28,183.3,55.0,0,16.36,3,3,4,7.7,3.0,3292.0,4,2
56,180.9,94.0,0,28.71,1,1,2,8.0,2.0,2918.0,3,4
18,152.2,87.5,0,37.76,2,0,1,7.6,2.0,2250.0,4,3
54,157.7,110.8,1,44.54,2,1,3,6.6,3.0,3028.0,3,1
21,169.0,63.7,1,22.31,1,0,1,5.4,1.0,1513.0,0,0
23,167.2,79.9,1,28.58,0,0,1,7.9,0.0,1431.0,2,0
42,169.2,65.7,1,22.93,3,2,1,6.5,4.0,2617.0,1,2
24,179.6,64.8,1,20.11,0,2,0,5.7,1.0,2087.0,1,1
52,173.5,86.6,0,28.78,1,1,2,8.7,0.0,2781.0,3,1
48,174.2,111.6,0,36.8,1,2,3,6.9,0.0,3008.0,3,1
57,178.0,89.7,1,28.3,1,0,2,7.4,0.0,1701.0,3,4
59,182.9,87.8,1,26.25,1,1,0,7.2,0.0,2602.0,0,4
39,150.0,70.9,0,31.53,5,2,3,7.0,4.0,3214.0,3,2
30,165.4,87.3,0,31.91,4,1,0,6.7,3.0,3796.0,0,2
47,159.4,93.2,0,36.68,1,3,3,6.5,1.0,2935.0,3,2
47,175.7,56.5,1,18.32,0,1,3,9.0,0.0,1971.0,3,1
39,164.5,72.7,0,26.9,1,3,4,5.7,1.0,2752.0,4,2
56,170.9,66.2,1,22.65,0,0,0,6.6,1.0,1200.0,0,4
64,180.2,60.6,1,18.66,1,1,2,6.2,2.0,2171.0,3,4
64,162.8,89.7,0,33.86,1,0,0,7.5,0.0,1749.0,4,4
27,174.4,67.8,0,22.29,4,0,0,6.6,5.0,2661.0,0,3
54,188.6,80.5,1,22.63,1,1,0,6.6,1.0,2586.0,0,1
17,180.0,80.7,1,24.91,3,2,4,7.6,3.0,3208.0,4,2
18,151.0,67.1,0,29.46,4,2,4,8.7,5.0,3207.0,4,2
64,166.5,45.8,0,16.52,4,1,4,6.3,4.0,2699.0,4,2
52,174.3,65.7,1,21.63,3,3,4,5.6,3.0,2886.0,4,2
64,176.6,81.5,0,26.13,5,0,0,7.1,6.0,2758.0,0,3
32,167.0,77.4,1,27.78,4,3,2,7.8,4.0,3444.0,3,2
64,162.3,40.0,0,15.18,1,0,1,6.8,1.0,1200.0,0,4
17,170.8,86.6,0,29.68,3,1,0,7.6,4.0,3648.0,0,2
17,157.0,62.0,1,25.18,1,1,2,6.5,2.0,2314.0,3,1
43,183.2,82.3,0,24.52,4,2,1,9.0,5.0,3640.0,1,2
38,192.4,86.7,0,23.41,2,0,1,7.6,1.0,2471.0,0,3
52,174.7,80.5,1,26.35,3,0,4,6.6,3.0,2096.0,4,3
47,167.2,105.9,1,37.87,0,3,1,6.3,0.0,2649.0,1,4
48,181.3,90.0,0,27.38,4,1,2,7.2,4.0,3866.0,3,2
16,179.3,63.8,1,19.87,2,0,4,7.6,3.0,1903.0,4,3
34,166.7,65.7,0,23.63,4,1,0,5.8,4.0,3364.0,0,2
17,169.4,70.6,1,24.61,1,0,0,7.0,0.0,1639.0,0,0
59,162.7,65.7,1,24.81,5,3,4,7.7,5.0,3035.0,4,2
41,172.0,78.7,1,26.59,5,2,4,7.3,5.0,3291.0,4,2
47,173.6,51.6,0,17.12,1,0,1,7.6,1.0,1435.0,0,0
21,160.6,96.9,0,37.54,5,1,1,8.3,6.0,4196.0,0,2
47,157.1,72.7,0,29.47,1,3,2,4.2,2.0,2634.0,3,2
19,154.1,96.4,1,40.58,2,1,4,7.2,3.0,3039.0,4,1
26,175.0,50.7,1,16.55,1,0,0,4.9,2.0,1351.0,0,0
32,169.9,50.8,0,17.59,4,2,2,7.0,5.0,2987.0,3,2
53,169.0,91.4,0,32.01,4,3,0,8.2,3.0,3850.0,1,2
39,175.6,60.3,1,19.58,5,2,0,6.9,5.0,2990.0,1,2
20,159.2,54.1,0,21.33,4,2,2,6.2,3.0,3037.0,3,2
49,157.2,93.0,0,37.64,3,1,0,7.7,4.0,3334.0,0,2
21,172.9,57.4,0,19.2,4,1,4,7.1,3.0,3403.0,4,2
37,150.0,71.7,1,31.85,1,3,4,7.2,1.0,2399.0,4,2
26,166.9,62.3,0,22.35,3,2,2,8.9,4.0,2958.0,3,2
63,199.6,85.6,1,21.5,3,0,0,5.6,4.0,2358.0,0,3
31,153.8,76.1,0,32.16,3,0,0,6.4,3.0,2262.0,2,3
48,164.8,88.4,0,32.53,3,0,1,7.3,4.0,2447.0,2,3
24,150.0,50.4,1,22.41,5,0,3,8.1,4.0,1871.0,3,3
21,167.2,76.3,1,27.31,2,1,2,6.1,2.0,2841.0,3,1
31,193.6,73.6,1,19.65,5,2,0,6.6,6.0,3561.0,1,2
44,175.6,58.5,0,18.98,4,2,2,6.9,5.0,3089.0,3,2
18,162.6,53.4,0,20.17,2,3,1,6.9,2.0,2871.0,1,2
35,196.2,70.4,0,18.3,5,0,2,7.6,6.0,3071.0,3,3
51,150.0,66.8,0,29.67,0,2,4,7.0,0.0,1926.0,4,1
34,175.4,93.2,0,30.29,2,1,0,7.6,3.0,3339.0,0,1
41,170.8,86.9,0,29.78,5,3,1,5.9,5.0,4072.0,1,2
18,167.0,59.6,1,21.38,5,0,4,7.1,6.0,2329.0,4,3
34,179.7,67.4,1,20.87,3,3,3,7.0,4.0,3128.0,3,2
35,155.8,81.8,0,33.71,4,2,3,7.8,5.0,3382.0,3,2
47,173.8,83.8,1,27.77,5,1,2,9.0,5.0,3506.0,3,2
22,172.2,93.4,1,31.49,4,2,0,7.9,5.0,3605.0,1,2
56,159.5,70.9,0,27.83,1,3,3,6.4,2.0,2567.0,3,4
48,193.4,74.9,1,20.02,5,1,1,7.6,4.0,3563.0,0,2
55,167.8,40.0,0,14.2,2,2,0,7.0,1.0,2127.0,1,2
54,168.3,52.0,1,18.36,4,2,1,6.7,4.0,2468.0,1,2
33,157.7,88.4,0,35.56,0,1,1,6.5,0.0,2501.0,0,4
55,168.0,52.3,1,18.54,0,2,1,6.5,0.0,1665.0,1,1
16,198.0,41.8,1,10.67,5,0,3,6.0,5.0,2380.0,3,3
26,167.0,85.8,0,30.79,2,2,2,5.8,3.0,3054.0,3,2
43,176.2,64.9,0,20.9,5,3,3,7.6,4.0,3681.0,3,2
40,181.4,57.7,1,17.53,5,2,3,6.7,4.0,2999.0,3,2
38,167.8,45.4,0,16.11,1,1,2,7.2,0.0,2262.0,3,1
46,165.1,45.5,1,16.7,5,0,4,6.2,4.0,1742.0,4,3
45,175.7,64.0,0,20.73,5,2,1,7.5,4.0,3335.0,1,2
57,167.1,69.5,1,24.87,0,2,4,6.4,1.0,1852.0,4,4
50,166.0,94.4,1,34.25,1,3,1,5.8,0.0,2759.0,1,2
22,181.3,69.6,0,21.18,2,3,4,8.4,3.0,3272.0,4,2
31,169.2,66.2,0,23.14,5,2,1,7.2,6.0,3439.0,1,2
41,184.6,66.8,1,19.61,4,3,2,6.7,3.0,3365.0,3,2
63,168.9,40.0,0,14.02,1,2,2,6.8,1.0,1875.0,3,4
64,154.2,63.2,1,26.57,5,1,2,6.7,5.0,2679.0,3,2
17,150.0,83.4,0,37.08,0,2,0,7.4,0.0,2330.0,1,4
16,150.0,73.6,0,32.7,1,1,1,5.6,1.0,2647.0,0,1
63,150.0,86.0,0,38.2,4,0,2,5.4,4.0,2376.0,3,3
27,173.2,91.5,0,30.49,5,1,4,7.1,6.0,4184.0,4,2
20,158.3,42.4,1,16.91,4,0,0,5.4,3.0,1740.0,0,3
52,150.0,60.3,0,26.8,0,0,0,5.3,0.0,1200.0,0,0
47,168.4,90.1,1,31.75,1,0,2,7.8,2.0,1691.0,3,0
24,157.0,73.9,1,29.97,1,3,3,7.2,0.0,2579.0,3,2
56,175.6,69.3,1,22.49,3,2,2,7.2,4.0,2628.0,3,2
50,175.3,90.6,0,29.5,0,1,3,6.0,0.0,2558.0,3,1
34,176.5,57.7,1,18.53,1,0,2,8.3,1.0,1406.0,3,0
63,150.0,58.8,1,26.15,2,1,1,7.9,3.0,2077.0,0,1
31,170.5,57.7,0,19.82,3,0,4,5.8,2.0,2124.0,4,3
18,168.5,48.1,0,16.92,0,3,3,6.9,0.0,2339.0,3,2
35,155.3,68.0,1,28.18,4,0,3,6.6,4.0,2048.0,3,3
39,150.0,75.2,0,33.44,0,0,0,7.0,0.0,1350.0,4,4
48,168.7,53.2,1,18.7,2,2,3,8.0,3.0,2137.0,3,2
39,182.8,70.1,1,20.98,2,1,1,6.7,1.0,2755.0,0,1
26,150.0,61.2,1,27.22,4,2,4,7.9,5.0,2692.0,4,2
64,160.0,70.6,1,27.58,4,3,3,5.4,4.0,2928.0,3,2
23,171.6,98.0,0,33.29,4,1,0,6.4,3.0,4140.0,0,2
51,183.5,73.5,1,21.84,3,3,4,6.6,3.0,3129.0,4,2
53,166.3,73.9,0,26.74,2,0,3,6.5,2.0,1903.0,3,3
55,193.2,108.7,0,29.13,4,3,1,7.0,3.0,4446.0,1,2
35,150.0,62.9,1,27.94,2,1,1,7.1,2.0,2357.0,0,1
50,150.0,83.0,1,36.9,3,1,4,7.2,3.0,2790.0,4,2
63,182.2,62.4,1,18.81,5,1,0,7.8,6.0,3024.0,0,2
40,150.0,86.1,0,38.29,3,2,1,7.7,3.0,3067.0,1,2
50,175.5,55.7,0,18.08,5,0,2,5.6,4.0,2369.0,3,3
40,166.5,66.0,0,23.81,2,1,2,7.1,1.0,2783.0,3,1
44,159.2,61.9,1,24.43,4,3,3,6.4,4.0,2943.0,3,2
33,164.9,53.2,1,19.58,5,3,1,7.7,6.0,3073.0,1,2
61,154.5,40.0,1,16.75,0,3,2,8.2,0.0,1680.0,3,4
33,166.2,79.3,0,28.73,1,1,3,7.8,1.0,2749.0,3,1
17,170.2,60.5,0,20.9,2,1,3,8.7,2.0,2913.0,3,1
50,165.0,67.1,1,24.65,5,3,3,7.7,6.0,3183.0,3,2
31,163.0,69.7,1,26.23,3,3,0,7.9,4.0,3014.0,1,2
56,173.0,45.6,0,15.23,4,0,3,6.3,5.0,1949.0,3,3
51,189.9,64.9,1,18.0,5,1,0,7.0,4.0,3290.0,0,2
48,166.8,40.0,1,14.38,1,3,2,7.6,1.0,2032.0,3,2
19,179.8,63.7,1,19.7,2,1,3,7.3,3.0,2783.0,3,1
48,158.4,99.0,0,39.44,0,0,2,6.2,0.0,1644.0,3,4
29,154.0,62.3,0,26.28,0,2,1,6.2,0.0,2035.0,1,1
36,175.4,51.3,1,16.68,3,1,0,5.4,3.0,2639.0,0,2
63,167.2,63.2,0,22.6,3,1,2,7.3,4.0,2808.0,3,2
35,183.6,100.2,0,29.75,3,0,3,6.1,4.0,2965.0,3,3
23,185.9,63.9,1,18.49,2,1,2,7.6,3.0,2814.0,3,1
22,180.1,44.1,1,13.6,0,3,3,7.7,1.0,2155.0,3,2
18,179.8,40.0,1,12.37,0,0,4,7.2,1.0,1200.0,4,0
32,150.0,64.7,1,28.76,3,2,0,7.4,2.0,2480.0,1,2
48,175.3,86.6,1,28.18,3,0,1,7.9,2.0,2243.0,2,3
63,180.4,79.9,0,24.58,4,3,2,8.0,4.0,3672.0,3,2
27,154.7,91.8,0,38.32,0,1,2,5.0,1.0,2556.0,3,4
37,170.1,83.3,0,28.79,3,0,4,7.6,3.0,2510.0,4,3
37,157.5,72.2,0,29.11,3,3,3,7.4,4.0,3233.0,3,2
61,182.3,40.0,0,12.03,3,3,1,7.3,2.0,2738.0,1,2
45,158.5,96.9,1,38.57,5,3,3,7.4,5.0,3748.0,3,2
53,160.5,45.8,1,17.77,4,0,3,6.7,3.0,1516.0,3,3
53,164.4,113.6,1,42.01,0,0,2,4.8,0.0,1635.0,3,4
60,197.0,58.2,1,15.0,0,0,2,6.5,1.0,1200.0,3,4
23,182.1,58.9,0,17.78,0,2,2,5.4,0.0,2241.0,3,1
42,189.4,62.4,1,17.41,4,3,0,5.5,4.0,3329.0,1,2
42,150.0,72.2,1,32.11,2,0,0,8.0,2.0,1548.0,2,3
49,154.8,47.3,1,19.76,4,0,2,6.5,4.0,1516.0,3,3
36,186.1,56.1,1,16.2,5,1,3,7.2,4.0,3215.0,3,2
45,150.0,88.8,1,39.48,1,1,1,7.0,0.0,2430.0,0,1
48,161.9,96.1,0,36.66,5,0,1,8.2,6.0,3027.0,4,3
43,194.7,52.1,1,13.75,4,0,3,7.1,4.0,2137.0,3,3
62,158.4,78.0,0,31.07,1,2,4,6.5,0.0,2315.0,4,4
48,150.0,62.6,0,27.81,5,1,3,8.3,6.0,3107.0,3,2
20,170.6,81.0,1,27.85,3,2,1,6.6,2.0,3087.0,1,2
63,150.0,55.8,0,24.82,1,0,4,7.4,0.0,1200.0,4,4
34,184.8,85.2,0,24.92,4,2,4,7.4,3.0,3800.0,4,2
19,159.3,69.6,1,27.44,2,3,1,5.9,3.0,2825.0,1,2
50,156.9,63.1,0,25.66,0,2,4,7.8,0.0,1940.0,4,1
64,170.4,71.3,0,24.58,4,1,0,8.2,3.0,3230.0,0,2
32,165.1,98.0,1,35.93,0,1,2,6.0,0.0,2479.0,3,4
59,173.0,70.3,1,23.48,5,1,4,7.0,5.0,3107.0,4,2
43,176.3,77.1,1,24.83,1,1,4,8.2,0.0,2508.0,4,1
